,lema,animacy,gender,finale,n_syll,soft0
67,ключ,1,1,ч,1,1
68,интернет,1,1,т,3,1
69,интернет,1,1,т,3,1
70,место,1,0,т,1,1
71,посёлок,1,1,к,3,1
72,дом,1,1,м,1,1
73,число,1,0,л,1,1
74,департамент,1,1,т,4,1
75,мерседес,1,1,с,3,1
76,место,1,0,т,1,1
77,дело,1,0,л,1,1
78,дело,1,0,л,1,1
79,интернет,1,1,т,3,1
80,велосипед,1,1,д,4,1
81,комсомол,1,1,л,3,1
82,чердак,1,1,к,2,1
83,дом,1,1,м,1,1
84,число,1,0,л,1,1
85,интернет,1,1,т,3,1
86,ландех,1,1,х,2,1
87,диаметр,1,1,р,3,1
88,интернет,1,1,т,3,1
89,ландех,1,1,х,2,1
90,ландех,1,1,х,2,1
91,кладбище,1,0,щ',2,0
92,ландех,1,1,х,2,1
93,ландех,1,1,х,2,1
94,кладбище,1,0,щ',2,0
95,июнь,1,1,н',2,0
96,дом,1,1,м,1,1
97,место,1,0,т,1,1
98,принцип,1,1,п,2,1
99,дом,1,1,м,1,1
100,восток,1,1,к,2,1
101,холуй,1,1,й,2,1
102,окошечко,1,0,к,3,1
103,холово,1,0,в,2,1
104,место,1,0,т,1,1
105,район,1,1,н,2,1
