,word,lema,animacy,gender,finale,n_syll,preposition,context
88,июне,июнь,inan,masc,н',2,в,"родилась , а в июне , двадцать второго июня"
89,лбе,лоб,inan,masc,б,1,во,"У тебе крест ( хрёст ) во лбе , детёнок смёрз"
90,колхозе,колхоз,inan,masc,з,2,в,"Он ( ён ) и работал , и в колхозе работал"
91,колхозе,колхоз,inan,masc,з,2,в,"Всё ходили лён пололи , в колхозе , картошку пололи"
92,колхозе,колхоз,inan,masc,з,2,в,"В колхозе . Их же , коням надо было сено давать . И коровы были в колхозе"
93,колхозе,колхоз,inan,masc,з,2,в,"В колхозе . Их же , коням надо было сено давать . И коровы были в колхозе"
94,колхозе,колхоз,inan,masc,з,2,в,"Ну тогда ( тады ) уже стал колхоз , дак в колхозе троху давать стали , колхо = на колхозные трудодни"
95,море,море,inan,neut,р',1,на,"Ты на суше , я на море , мы не встре = Мне эта понравилась песня , я эту взяла , думаю . ."
96,поле,поле,inan,neut,л',1,на,"Там он на поле ещё , и с поля пришёл сюда"
97,поле,поле,inan,neut,л',1,на,"В пр = тринадцать коров пришло , мы прогнали их туда ( туды ) на поле"
98,крыльце,крыльцо,inan,neut,ц,1,на,"Идёт босой , только на крыльце най = набу = в церковь ( церкву ) идти ( итить ) наденет"
99,тое,той,inan,masc,й,1,на,"Ну а на , на один то ( тое ) так и вижу"
100,кладбище,кладбище,inan,neut,щ',2,на,"Ну , на кладбище там оставляли"
101,колхозе,колхоз,inan,masc,з,2,в,"Значит , в колхозе если работал"
102,поле,поле,inan,neut,л',1,в,"Работали , в поле работали"
103,месте,место,inan,neut,т,1,на,"На новом месте ложись , на новом месте - жених , приснись невесте"
104,месте,место,inan,neut,т,1,на,"На новом месте ложись , на новом месте - жених , приснись невесте"
105,районе,район,inan,masc,н,2,в,"В сорок седьмом , первая в районе"
106,бигуде,бигуд,inan,masc,д,2,на,"Такая чёлочка , и на бигуде крутили кучери , были закручены"
107,рейсе,рейс,inan,masc,с,1,в,"И укусила в лесу змея , а он , зять был в рейсе"
108,тое,той,inan,masc,й,1,в,"В то ( тое ) время триста рублей , дуже много это денег было"
109,кармане,карман,inan,masc,н,2,в,"И документы , какие ( якие ) были в кармане , и ключи"
110,чугуне,чугун,inan,masc,н,2,в,в чугуне в печи закипятят эту
111,поле,поле,inan,neut,л',1,на,Тоже ходила с ней на поле
112,поле,поле,inan,neut,л',1,на,"А у него зеленый плащ , поехали на поле искать"
113,огороде,огород,inan,masc,д,3,на,только повзошли ( повзойшли ) на огороде всё
114,заселе,засело,inan,neut,л,2,в,"Ну , говорят , перва ж чтоб сам в хату заселе = , первым долгом надо кота впустить и кошку"
115,числе,число,inan,neut,л,1,в,"Ну , она к вербно = всегда она видно распускается , того что Пасха она ( ина ) ж уже ( ужо ) не в числе"
116,поле,поле,inan,neut,л',1,в,Коров гонят в поле
117,декабре,декабрь,inan,masc,р',2,в,В мае и в декабре
118,декабре,декабрь,inan,masc,р',2,в,Это в декабре семнадцатого Варвары
119,декабре,декабрь,inan,masc,р',2,в,Это в декабре все праздники
120,столе,стол,inan,masc,л,1,на,В миску и поставит там ( тама ) их на столе стоит
121,законе,закон,inan,masc,н,2,в,"Ну , нет , что - то не было такого в законе"
122,огороде,огород,inan,masc,д,3,в,"А в огороде , нет"
123,тое,той,inan,masc,й,1,на,"Она чуть если уж увидит , что заблудивши , разворачиваешься назад , приедешь на то ( тое ) место"
124,дворе,двор,inan,masc,р,1,во,"ужики во дворе , во дворе , на лугу где"
125,дворе,двор,inan,masc,р,1,во,"ужики во дворе , во дворе , на лугу где"
126,порядке,порядок,inan,masc,к,3,в,Что она не в порядке
127,базаре,базар,inan,masc,р,2,на,Где - то у которых деревнях делали на базар возили . И на базаре покупали
128,кладбище,кладбище,inan,neut,щ',2,на,На Радуницу ходим на кладбище . Тут ( тута ) вот кладбище от меня недалеко
129,классе,класс,inan,masc,с,1,в,"и это она ( ина ) училась в Растегаевке ( ? ) , наверное , ти в седьмом классе"
130,тесте,тест,inan,masc,т,1,в,"Две дырки ( дирки ) , две дырки ( дирки ) вместе - обе ( обеи ) в тесте"
131,тесте,тест,inan,masc,т,1,в,Две дырки вместе - обе ( обеи ) в тесте
132,дворе,двор,inan,masc,р,1,во,"О , у меня они во дворе у нас"
133,кладбище,кладбище,inan,neut,щ',2,на,"это катали на этом , на к = на кладбищах катали , когда ( къда ) приходишь на Радуницу . На каждое кладбище , каждую могилочку катали , приходят . ."
134,курсе,курс,inan,masc,с,1,в,"Это я не помню , не знаю такое , не в курсе дела"
135,доме,дом,inan,masc,м,1,в,"Коляда , коли звала , помню . Коляда , Коляда , приди , ходи кутью есть , что - то в доме там . Ну , это такое , не помню"
136,селе,село,inan,neut,л,1,в,вообще красиво . Там как - то звехдой ходила . Да столько людей было в селе
137,доме,дом,inan,masc,м,1,в,"Ну , зе = в доме зерном посыпать . Ну , с порога прям на пол"
138,сарае,сарай,inan,masc,й,2,в,"бра = говорить , как делать . В сарае надо обрызгивать , где ( де ) куры , где ( де ) скот , где ( де ) двор , всё надо"
139,доме,дом,inan,masc,м,1,в,"Обрызгивать . Свечечку , чтоб в доме погорела , на Крещение обязательно"
140,доме,дом,inan,masc,м,1,в,"Целая свечечка , чтобы в доме сгорела . Это обязательно надо , обязательно , чтоб в доме свечка горела"
141,доме,дом,inan,masc,м,1,в,"Целая свечечка , чтобы в доме сгорела . Это обязательно надо , обязательно , чтоб в доме свечка горела"
142,доме,дом,inan,masc,м,1,в,"И догорела . Потом домой придешь , подпалишь , чтоб она полностью в доме догорела"
143,сарае,сарай,inan,masc,й,2,в,А водой посящаешь ( посвицаеш ) в сарае там
144,дворе,двор,inan,masc,р,1,на,"И по двору по всём , чтоб на дворе [ во всём ] . В доме , каждую комнату , где спишь , где зал , где кухня , чтоб всё"
145,доме,дом,inan,masc,м,1,в,"И по двору по всём , чтоб на дворе [ во всём ] . В доме , каждую комнату , где спишь , где зал , где кухня , чтоб всё"
146,сарае,сарай,inan,masc,й,2,в,"Помещение . В сарае , везде , так он сказал . Баню надо , всё . Та"
147,дворе,двор,inan,masc,р,1,во,"Она ( ина ) говорит : бабочки любые , сегодня у меня во дворе ЧП что"
148,колхозе,колхоз,inan,masc,з,2,на,"Было дело , что мальцы взяли да у одного , на колхозе хороший конь был такой , смирный"
149,сарае,сарай,inan,masc,й,2,в,"а ты коня , дед , привел на ферме , а чего конь в сарае сидит"
150,сарае,сарай,inan,masc,й,2,в,"Мне сказали , можно в сарае вот куда - то ( куды - то ) в уголочек торнуть , где с = корова стоит"
151,доме,дом,inan,masc,м,1,в,"В огород , не , не . Только в постройки , или в сарай , или в доме"
152,сарае,сарай,inan,masc,й,2,в,"Где ж покре = там водой посвятишь в сарае всё ,"
153,дворе,двор,inan,masc,р,1,на,"на , где вот пост = дом , на дворе , так вот сарае"
154,месте,место,inan,neut,т,1,на,"Да , на том месте ставят хату , там будет сухая"
155,месте,место,inan,neut,т,1,на,"Была ж хата тут ( тута ) выше , надо было на этом и месте ставить , а они его вниз снесли , ниже так , и там было сыро дуже в хате"
156,взгорке,взгорок,inan,masc,к,2,на,"Не в лесе , мы ж не в лесу жили , мы ж жили на взгорке ( взгорку ) такое , ну"
157,кубле,кубль,inan,masc,л',1,в,"Ну , сало чтоб лежало в кубле"
158,дне,день,inan,masc,н',1,на,"но только на дне делают дырочки , тут внизу , чтоб соль стекала туда ( туды )"
159,полеводстве,полеводство,inan,neut,в,3,в,"Сразу в полеводстве , а тогда ( тады ) как ( як ) пошла дояркой , и всё дояркой"
160,конце,конец,inan,masc,ц,2,в,"И в конце года только сколько нам там , по пять , по десять копеек дадут , а денег у нас же не было"
161,поле,поле,inan,neut,л',1,в,"девятого мая , под девятого всегда выгоняли в поле"
162,поле,поле,inan,neut,л',1,в,и пастух гонит в поле
163,севере,север,inan,masc,р,2,на,"А она ( ина ) говорит : а мы , говорит , замерзаем , а у них там холодно на севере"
164,детстве,детство,inan,neut,в,1,в,"если что - нибудь в детстве , вот хорошо мне помнится , если какую ( якую )"
165,магазине,магазин,inan,masc,н,3,в,Которая в магазине работает
166,интернете,интернет,inan,masc,т,3,в,"Тенишева такая была одна , детей бесплатно учила , школы открывала в свое . . . в общем в интернете посмотрите , кто такая Тенишева"
167,месте,место,inan,neut,т,1,в,"Ну , это где , в каком месте видели"
168,районе,район,inan,masc,н,2,в,больше всего в районе детей в нашей деревне
169,доме,дом,inan,masc,м,1,в,"Это вот в первом доме тут ( тута ) она живет , синяя крыша , металлическая"
170,въезде,въезд,inan,masc,д,1,при,Как при въезде сюда
171,поселке,посёлок,inan,masc,к,3,в,"Ну в поселке там , в Хиславичах , там"
172,городе,город,inan,masc,д,2,в,"Жирный , конечно , домашний , вы , наверное , такой уже в городе точно не ели никогда"
173,огонечке,огонёчек,inan,masc,к,4,на,"простокваша , её оттапливаешь на газу , на маленьком огонечке , получается сыворотка и творог"
174,магазине,магазин,inan,masc,н,3,в,И всё равно покупаем в магазине
175,районе,район,inan,masc,н,2,в,"перестройка побыла , то многие , у нас тоже в"
176,колесе,колесо,inan,neut,с,2,в,"Вон там вон еще белый сидит , его маленький весной высадила , вон , в колесе вон там , в большой"
177,поле,поле,inan,neut,л',1,на,А потом картошка еще дальше там ( тама ) на поле растет
178,доме,дом,inan,masc,м,1,в,"Как вы там расположились спать в том доме , вам хватает ? Кровати там есть"
179,доме,дом,inan,masc,м,1,в,"Не , а вы у кого живете вообще - то ? И в каком доме"
180,коридоре,коридор,inan,masc,р,3,в,"А в коридо = , в коридоре , наверное"
181,доме,дом,inan,masc,м,1,в,"Ну да , я знаю , что в доме , что там одна только , да"
182,детстве,детство,inan,neut,в,1,в,"Да , как ширмы вот такие , я помню еще , в нашем детстве всё время так вот вешали"
183,детстве,детство,inan,neut,в,1,в,"в моем детстве , я помню , у всех вот эти шторки так висели , занавески"
184,детстве,детство,inan,neut,в,1,в,"Мы в детстве мак ели , по огородам рос мак"
185,январе,январь,inan,masc,р',2,в,Это в январе
186,деле,дело,inan,neut,л,1,в,"Ну это и в самом деле , падумаешь , гроб , говорит , не гардероб"
187,кладбище,кладбище,inan,neut,щ',2,на,а когда ( къда ) уже поступает ещё новый на кладбище
