Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
65;году;год;inan;masc;д;1;в;сразу ж это , вышла я замуж в пятьдесят пятом году
66;году;год;inan;masc;д;1;в;Ага , обязательно вот девятого . А в этом году дак и не
67;году;год;inan;masc;д;1;в;Раньше погнали скотину . Пятого или четвёртого мая в этом году пог
68;году;год;inan;masc;д;1;в;и голод , и холод , [ но паче ] в сорок седьмом году
69;плугу;плуг;inan;masc;г;1;на;поехала я на , на плугу на этом
70;берегу;берег;inan;masc;г;2;на;на берег , нехай на берегу , а тогда ( тады ) мы уже , говорит , прицепим их
72;году;год;inan;masc;д;1;в;Ну в прошлом году были тут девочки , только они , они не в Стайках они
73;году;год;inan;masc;д;1;в;Или педагог эта , наверное , в прошлом году тут была
74;году;год;inan;masc;д;1;в;в магазин в прошлом году к ней приходили
75;году;год;inan;masc;д;1;в;Родила в шестидесятом году его'
76;году;год;inan;masc;д;1;в;она родилась в шестьдесят девятом году , тая ( та ) в люльке спала , уже не было этих , колышки это , люлька была
77;году;год;inan;masc;д;1;в;Я не два дни - это в шестнадцатом году он ( ён ) мне привёз
78;мешку;мешок;inan;masc;к;2;в;Её в мешку ж , и в машине вёз , и нашла
79;рву;ров;inan;masc;в;1;во;Во рву ( в рову ) вот у нас коров гоняют где ( иде )
80;куту;кут;inan;masc;т;1;на;Ну любая же икона , ну на куту же висит
81;лесу;лес;inan;masc;с;1;в;Кто в лесу
82;особняку;особняк;inan;masc;к;3;на;Так что я жила вот на особняку
83;лесу;лес;inan;masc;с;1;в;[ Опят ] , пойду - ка я , ну , пойду вот до леса . Охота ( хота ) , охота ( хота ) сходить , в лесу , в деревне выросла
84;лесу;лес;inan;masc;с;1;в;Теперь вырезан , дико в лесу , дико
85;году;год;inan;masc;д;1;в;волки , да , пробовали в прошлом году , ну тут у нас не очень их много
86;году;год;inan;masc;д;1;в;И Стайки , в каком году образовались и чего они так называются , это , думаю , что , наверное , там есть
87;году;год;inan;masc;д;1;в;Такие , купила вон этих самых , в прошлом году висели , ну вот эти , на магнитиках
88;году;год;inan;masc;д;1;в;Да , я в пятьдесят втором году родилась
89;рту;рот;inan;masc;т;1;во;во рту слезинки нету , не было
90;лесу;лес;inan;masc;с;1;в;Назад шла ( ишла ) , в лесу нашла чернику . Она такая меленькая
91;лесу;лес;inan;masc;с;1;в;Дед этот ( этый ) косит траву . Говорит , де = девка , ты откуда ? Говорю , из леса . А ты чего , говорю , в лесу
92;году;год;inan;masc;д;1;в;как - то весело мы жили [ нрзб ] . Я хоть в пятьдесят втором году родилась
93;станку;станок;inan;masc;к;2;в;И он ( ён ) пришёл , а он ( ён ) стоит в станку - выше всех
95;хлеву;хлев;inan;masc;в;1;в;В хлеву бывает
97;полушубку;полушубок;inan;masc;к;4;в;Я в полушубку ходила , я не видна была
98;Канаршину;канаршино;inan;neut;н;3;в;Там же сейчас , говорили , два дворы тоже осталось , в Канаршину ходили
99;году;год;inan;masc;д;1;в;в пятидесятом году нам за батьку стали пенсию давать
