Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
82;деле;дело;inan;neut;л;1;на;И он , наверное , на самом деле принадлежал это , барину какому - нибудь
83;селе;село;inan;neut;л;1;на;Это если в Журавлевке , вот , внизу , например они там , на низу , на селе , значит - здесь где - то , где - то высоко здесь
84;селе;село;inan;neut;л;1;на;Вот сейчас мы живем на селе
85;бугре;бугор;inan;masc;р;2;на;И у них огороды были . На , на этом бугре
86;доме;дом;inan;masc;м;1;в;Дом . Вот как вы с горы стали спускаться , и дом - это я в этом доме жила
87;совхозе;совхоз;inan;masc;з;2;в;Лошади - то они в совхозе то ли были , да
88;совхозе;совхоз;inan;masc;з;2;в;Да . Лошади только в совхозе были . А когда весной - они , лошади , все в поле
89;поле;поле;inan;neut;л';1;в;Да . Лошади только в совхозе были . А когда весной - они , лошади , все в поле
90;месте;место;inan;neut;т;1;на;Вот , а так как этот дом там на этом месте был еще , в архиве сохранились , что хозяин какие - то . .
91;архиве;архив;inan;masc;в;2;в;Вот , а так как этот дом там на этом месте был еще , в архиве сохранились , что хозяин какие - то . .
92;селе;село;inan;neut;л;1;в;То есть в каждом в своём селе . . . А у вас чем
93;Ельце;елец;inan;masc;ц;2;в;В Ельце вот это макраме
94;огороде;огород;inan;masc;д;3;на;И а где , он где - нибудь в траве лежит , может на огороде , а может где , хрен его знает . Они вон и по палисадникам лазают
95;корыте;корыто;inan;neut;т;2;в;Видно , летом - на реку , а зимой - в корыте дома
96;совхозе;совхоз;inan;masc;з;2;в;Короб ? Вот я в совхозе работала . .
97;совхозе;совхоз;inan;masc;з;2;в;Да деревянный , да специально в совхозе там или колхозе сделают и меряют
98;колхозе;колхоз;inan;masc;з;2;в;Да деревянный , да специально в совхозе там или колхозе сделают и меряют
99;звене;звено;inan;neut;н;1;в;В одном звене там десять , девять человек , по восемь человек бывает в звеньях
100;звене;звено;inan;neut;н;1;в;Кучек начистишь в звене , и вот так поперемеряют
101;колхозе;колхоз;inan;masc;з;2;в;Да они были в колхозе . Да там приблизительно пойдут , выроют , там , сколько соток . От соток
102;пуде;пуд;inan;masc;д;1;в;Ну а в пуде - да , в пуде шестнадцать килограмм
103;пуде;пуд;inan;masc;д;1;в;Ну а в пуде - да , в пуде шестнадцать килограмм
104;центнере;центнер;inan;masc;р;2;в;Десять центнеров . В центнере - сто килограмм ! Ты поняла ?
105;огороде;огород;inan;masc;д;3;на;И всё сами . Не нуждались , конопи на огороде сеяли , лён - на огороде . Все мяли , толкли в ступе . И пряли
106;огороде;огород;inan;masc;д;3;на;И всё сами . Не нуждались , конопи на огороде сеяли , лён - на огороде . Все мяли , толкли в ступе . И пряли
107;огороде;огород;inan;masc;д;3;на;Тогда бывалочи - ка никакой хлеб никто никому не давал , а на огороде просо посеют , ржи посеют
108;поле;поле;inan;neut;л';1;в;Мало . А давали тогда еще в поле
109;поле;поле;inan;neut;л';1;в;Намеряли , там , кому сколько , я вот не знаю , в поле какая : поровну отмеряли всем , я не знаю вот
110;выгоне;выгон;inan;masc;н;2;на;нет , энтот был - Речной , вот там , на выгоне , был такой Жук - Полевой
111;гитанчике;гитанчик;inan;masc;к;3;на;Нет . Это вот . . . Это на гитанчике , она там на жилочке , я насажала , ниточке
112;парнике;парник;inan;masc;к;2;в;Это где растут , в парнике
113;магазине;магазин;inan;masc;н;3;в;Это вот продавают вон в магазине , эти , вот , конверты , вот такие - то , и там написано , там такие - то огурцы , такие - то огурцы , такие - то
115;заводе;завод;inan;masc;д;2;в;а этот вот уж теперь трёх , и сыну уж теперь - в заводе работает , и сыну теперь квартиру , что он
116;бугре;бугор;inan;masc;р;2;на;А это вот - на бугре , где вчера мы были , где стол тут , это вот мы сидели тут , это , проводила я сына
117;бугре;бугор;inan;masc;р;2;на;А после тут собрались мы , на бугре
118;бугре;бугор;inan;masc;р;2;на;Вот , вот , два дома , я же вам говорила , на бугре
